group,topic,title,authors,arxiv_url,code_url,project_url,doi
Generation & Editing,Image Generation & Diffusion Models,AC3S: Adaptive Conditioning for 3D-Aware Synthetic Data Generation,Eric Ji ⋅ Qiran Hu ⋅ Wufei Ma ⋅ Sarthak Jain ⋅ Yingying Li ⋅ Minh Do ⋅ Yaoyao Liu,https://arxiv.org/abs/2606.31204,,https://ac3s.cvmlgroup.web.illinois.edu/,
Generation & Editing,Image Generation & Diffusion Models,AccelAes: Accelerating Diffusion Transformers for Training-Free Aesthetic-Enhanced Image Generation,Xuanhua Yin ⋅ CHUANZHI XU ⋅ Haoxian Zhou ⋅ Boyu Wei ⋅ Weidong Cai,https://arxiv.org/abs/2603.12575,https://github.com/xuanhuayin/AccelAes,,
Generation & Editing,Image Generation & Diffusion Models,Accelerated Likelihood Maximization for Diffusion-based Versatile Content Generation,Hyunsoo Lee ⋅ Inwoo Hwang ⋅ Young Min Kim,https://arxiv.org/abs/2606.31323,,http://hleephilip.github.io/ALM,
Generation & Editing,Image Generation & Diffusion Models,Accelerating Diffusion Models via Equal-Risk Caching,Can Zhang ⋅ Liangshun Zou,,,,
Generation & Editing,Image Generation & Diffusion Models,Accelerating Diffusion Transformers with Gaussian Process Rectified Feature Cache,Zhirong Shen ⋅ Rui Huang ⋅ Chang Zou ⋅ Shikang Zheng ⋅ Jiacheng Liu ⋅ Peiliang Cai ⋅ zhengyi shi ⋅ Yaosong Du ⋅ Liang Feng ⋅ Xiaobing Tu ⋅ Jinkui Ren ⋅ Xiantao Zhang ⋅ Linfeng Zhang,,,,
Generation & Editing,Image Generation & Diffusion Models,Achieving Subcategorical Erasure in Text-to-Image Models,Pranav Singh Chib ⋅ Pravendra Singh,,,,
Generation & Editing,Image Generation & Diffusion Models,Adaptive Noise Covariance Scheduling under Riemannian Metrics for Diffusion Models,Bolin Deng ⋅ Die Hu ⋅ Bin Tan ⋅ Jun Wu,,,,
Generation & Editing,Image Generation & Diffusion Models,AlignMorph: Tuning-Free Diffusion Image Morphing via Explicit Semantic Transport,Wuyi Liu ⋅ Xu Han ⋅ Yuren Chen ⋅ Yige Mao ⋅ Zishuo Peng ⋅ Xianzhi Li,,,,
Generation & Editing,Image Generation & Diffusion Models,Analyzing and Improving Training-Free Fast Sampling of Text-to-Image Diffusion Models,Zhenyu Zhou ⋅ Defang Chen ⋅ Siwei Lyu ⋅ Chun Chen ⋅ Can Wang,,,,
Generation & Editing,Image Generation & Diffusion Models,AnaPFL: When Closed-Form Solutions Meet Generalizationand Personalization in Personalized Federated Learning,Kejia Fan ⋅ Jianheng Tang ⋅ Zhirui Yang ⋅ Feijiang Han ⋅ Yajiang Huang ⋅ Run He ⋅ Jiaxu Li ⋅ Songning Lai ⋅ Anfeng Liu ⋅ Houbing Herbert Song ⋅ Yunhuai Liu ⋅ HUIPING ZHUANG,,,,
Generation & Editing,Image Generation & Diffusion Models,Anchoring and Steering Diffusion: Enhancing the Faithfulness of Text-to-Image Generation at Inference Time,Xinyi Wang ⋅ Yuyang Huang ⋅ Yalin Su ⋅ Pengcheng Luan ⋅ Tao Zhang ⋅ FEIMING WEI ⋅ Wenxian Yu,https://arxiv.org/abs/2607.26647,,,
Generation & Editing,Image Generation & Diffusion Models,ARVAR: Accelerating Visual Autoregressive Model via Attention Retrospect,Jiedong Zhuang ⋅ Lu Lu ⋅ Ming Dai ⋅ Jian Chen ⋅ Qiang Liu ⋅ Haoji Hu,,,,
Generation & Editing,Image Generation & Diffusion Models,Attention-DP3: Spatially Object-aware 3D Diffusion Policy via Geometry-aligned Attentional Conditioning,Changbo Yan ⋅ Zhongbo Zhang ⋅ Zaibin Zhang ⋅ Yifan Wang ⋅ Lijun Wang ⋅ Huchuan Lu,,,,
Generation & Editing,Image Generation & Diffusion Models,Autoregressive Image Generation Needs Only a Few Lines of Cached Tokens,Ziran Qin ⋅ Youru Lv ⋅ Mingbao Lin ⋅ Zeren Zhang ⋅ chaofan gan ⋅ Tieyuan Chen ⋅ Liquan Shen ⋅ Junhui Hou ⋅ Chern Hong Lim ⋅ Fei Wen ⋅ Weiyao Lin,https://arxiv.org/abs/2512.04857,,,
Generation & Editing,Image Generation & Diffusion Models,Be Tangential to Manifold: Discovering Riemannian Metric for Diffusion Models,Shinnosuke Saito ⋅ Takashi Matsubara,https://arxiv.org/abs/2510.05509,,,
Generation & Editing,Image Generation & Diffusion Models,Beyond Aesthetics: Quantifying Information Loss in Turbid Scenes,Vasiliki Ismiroglou ⋅ Tasos Benos ⋅ Malte Pedersen ⋅ Stefan Bengtson ⋅ Thomas B. Moeslund,https://arxiv.org/abs/2606.26295,,https://vap.aau.dk/pcd,
Generation & Editing,Image Generation & Diffusion Models,Beyond Pixel Mimicry: Disentangled Self-Similarity Rewards for Diverse Subject-Driven Generation,Qian Wang ⋅ Zhenyu Li ⋅ Abdelrahman Eldesokey ⋅ Peter Wonka,,,,
